"filename", "language", "JSON with Comments", "TypeScript", "SCSS", "TypeScript JSX", "JavaScript JSX", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_home.scss", "SCSS", 0, 0, 46, 0, 0, 0, 0, 0, 1, 10, 57
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_login.scss", "SCSS", 0, 0, 140, 0, 0, 0, 0, 0, 0, 26, 166
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_navbar.scss", "SCSS", 0, 0, 177, 0, 0, 0, 0, 0, 1, 36, 214
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_new_post.scss", "SCSS", 0, 0, 167, 0, 0, 0, 0, 0, 2, 30, 199
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_post.scss", "SCSS", 0, 0, 485, 0, 0, 0, 0, 0, 0, 93, 578
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_profile.scss", "SCSS", 0, 0, 161, 0, 0, 0, 0, 0, 2, 31, 194
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_search.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_settings.scss", "SCSS", 0, 0, 178, 0, 0, 0, 0, 0, 1, 33, 212
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_sidenav.scss", "SCSS", 0, 0, 54, 0, 0, 0, 0, 0, 1, 11, 66
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_sidenav_part.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_signup.scss", "SCSS", 0, 0, 162, 0, 0, 0, 0, 0, 0, 26, 188
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_single_post.scss", "SCSS", 0, 0, 98, 0, 0, 0, 0, 0, 0, 18, 116
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\main.scss", "SCSS", 0, 0, 159, 0, 0, 0, 0, 0, 8, 24, 191
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\services\firebase\blogServices.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 3, 8, 62
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\services\firebase\config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 4, 22
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\types.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 21, 573, 2814, 3634, 5, 26, 18133, 17, 216, 1039, 26478
